CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
A&E,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2239830001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"A&E BRAZIL DISTRIBUTION, LLC",1997-06-01
A&E HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2239830002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"A&E BRAZIL DISTRIBUTION, LLC",2010-12-01
ADULT SWIM,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330033,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-10-31
ADULT SWIM HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330034,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-10-31
AFESP TV,Canal de programação comum,26650154000112,,3530730001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,ASSOCIAÇÃO DOS FUNCIONÁRIOS EMPREGADOS E SERVIDORES PÚBLICOS MUNICIPAIS DE PETRÓPOLIS,2017-01-01
AGRO+,Canal de programação comum,04334366000158,Programadora brasileira,329330011,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2020-06-22
AGRO+ HD,Canal de programação comum,04334366000158,Programadora brasileira,329330012,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2020-06-22
AGROBRASIL TV O SEU CANAL,Canal de programação comum,07760498000130,Programadora brasileira independente,612530001,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,BRASIL,Canal de conteúdo em geral,AGROMIX TELEVISAO LTDA,2005-12-26
ALPHA CHANNEL TV,Canal de programação comum,20968212000174,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2948730001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,HAPPY SERVICOS E COMUNICACOES EIRELI,2014-08-28
AMC,Canal de espaço qualificado,06147448000119,PROGRAMADORA ESTRANGEIRA,621130003,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,1997-07-01
AMC HD,Canal de espaço qualificado,06147448000119,PROGRAMADORA ESTRANGEIRA,621130002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,2009-04-30
ANIMAL PLANET,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930001,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",1999-09-01
ANIMAL PLANET HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930018,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2015-12-01
ART LATINO,Canal não adaptado ao mercado brasileiro,,PROGRAMADORA ESTRANGEIRA,1412530002,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,URUGUAI,Canal de conteúdo em geral,ALL TV COMMUNICATIONS S.A.,1994-07-01
ARTE 1,Canal brasileiro de espaço qualificado,04334366000158,Programadora brasileira,329330003,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2012-10-01
ARTE 1 HD,Canal brasileiro de espaço qualificado,04334366000158,Programadora brasileira,329330004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2013-03-01
AXN,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2233530003,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"SET BRAZIL, LLC",1999-08-01
AXN HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2233530004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"SET BRAZIL, LLC",1999-08-01
BABY TV,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630006,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,TFCF LATIN AMERICAN CHANNEL LLC,2008-03-01
BANDNEWS,Canal de programação comum,06017510000158,Programadora brasileira,1574230002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo jornalístico,COMPANHIA RIO BONITO - COMUNICAÇÕES,2001-03-19
BANDNEWS HD,Canal de programação comum,06017510000158,Programadora brasileira,1574230003,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,COMPANHIA RIO BONITO - COMUNICAÇÕES,2017-02-09
BANDSPORTS,Canal de programação comum,04334366000158,Programadora brasileira,329330002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2002-05-13
