CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
A&E,canal de espaço qualificado,,programadora estrangeira,2239830001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"A&E BRAZIL DISTRIBUTION, LLC",1997-06-01
A&E HD,canal de espaço qualificado,,programadora estrangeira,2239830002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"A&E BRAZIL DISTRIBUTION, LLC",2010-12-01
ADULT SWIM,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330033,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-10-31
ADULT SWIM HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330034,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-10-31
AFESP TV,canal de programação comum,26650154000112,,3530730001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,ASSOCIAÇÃO DOS FUNCIONÁRIOS EMPREGADOS E SERVIDORES PÚBLICOS MUNICIPAIS DE PETRÓPOLIS,2017-01-01
AGRO+,canal de programação comum,04334366000158,programadora brasileira,329330011,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2020-06-22
AGRO+ HD,canal de programação comum,04334366000158,programadora brasileira,329330012,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2020-06-22
AGROBRASIL TV O SEU CANAL,canal de programação comum,07760498000130,programadora brasileira independente,612530001,"canal ofertado em pacote, canal à la carte",PADRÃO,Brasil,canal de conteúdo em geral,AGROMIX TELEVISAO LTDA,2005-12-26
ALPHA CHANNEL TV,canal de programação comum,20968212000174,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2948730001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,HAPPY SERVICOS E COMUNICACOES EIRELI,2014-08-28
AMC,canal de espaço qualificado,06147448000119,programadora estrangeira,621130003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,1997-07-01
AMC HD,canal de espaço qualificado,06147448000119,programadora estrangeira,621130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,2009-04-30
ANIMAL PLANET,canal de espaço qualificado,,programadora estrangeira,2603930001,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",1999-09-01
ANIMAL PLANET HD,canal de espaço qualificado,,programadora estrangeira,2603930018,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2015-12-01
ART LATINO,canal não adaptado ao mercado brasileiro,,programadora estrangeira,1412530002,"canal ofertado em pacote, canal à la carte",PADRÃO,Uruguai,canal de conteúdo em geral,ALL TV COMMUNICATIONS S.A.,1994-07-01
ARTE 1,canal brasileiro de espaço qualificado,04334366000158,programadora brasileira,329330003,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2012-10-01
ARTE 1 HD,canal brasileiro de espaço qualificado,04334366000158,programadora brasileira,329330004,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2013-03-01
AXN,canal de espaço qualificado,,programadora estrangeira,2233530003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",1999-08-01
AXN HD,canal de espaço qualificado,,programadora estrangeira,2233530004,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",1999-08-01
BABY TV,canal de espaço qualificado,,programadora estrangeira,627630006,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,TFCF LATIN AMERICAN CHANNEL LLC,2008-03-01
BANDNEWS,canal de programação comum,06017510000158,programadora brasileira,1574230002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,COMPANHIA RIO BONITO - COMUNICAÇÕES,2001-03-19
BANDNEWS HD,canal de programação comum,06017510000158,programadora brasileira,1574230003,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,COMPANHIA RIO BONITO - COMUNICAÇÕES,2017-02-09
BANDSPORTS,canal de programação comum,04334366000158,programadora brasileira,329330002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2002-05-13
BANDSPORTS HD,canal de programação comum,04334366000158,programadora brasileira,329330006,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2011-03-19
BIS,canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730016,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo videomusical,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
BIS (HD),canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730098,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo videomusical,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
BLOOMBERG TELEVISION,canal de programação comum,,programadora estrangeira,622730001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo jornalístico,BLOOMBERG L.P.,1997-02-02
